Year,Title,Название,Genre,Director,Actors,Mark,Comment
2015,Star Wars: The Force Awakens,Звёздные войны: Пробуждение силы,,,,6,"раздражают дизайн персонажей, костюмов, техники и вообще данная сага у меня не в фаворе."
2015,Hardcore Henry,Хардкор,,,,3,"Пара неплохо снятых сцен, в остальном хуйня-хуйней, русские актеры играют паршиво."
2014,John Wick,Джон Уик,,,Keanu Reeves,5,
2014,Garm Wars: The Last Druid,,"Action, Sci-Fi, Thriller",Mamoru Oshii,,4,"Довольно слабо, это не холливуд всё-таки."
2015,Demolition,Разрушение,,,"Jake Gyllenhaal, Naomi Watts",5,
2016,The Revenant,Выживший,"Adventure, Drama, Thriller",Alejandro G. Iñárritu,"Leonardo DiCaprio, Tom Hardy",8,"отличные съёмки, красиво показана природа."
2017,Blade Runner 2049,Бегущий по лезвию 2049,"Drama, Mystery, Sci-Fi",Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas",8,весьма хорошо.
2016,X-Men: Apocalypse,Люди Икс: Апокалипсис,"Action, Adventure, Sci-Fi",Bryan Singer,,7,"на фоне остальных кин про героев комиксов, это очень даже хорошо."
2016,The Girl on the Train,Девушка в поезде,"Drama, Mystery, Thriller",,Emily Blunt,7,"довольно неплохо, Блант играет хорошо."
2016,A Cure for Wellness,Лекарство от здоровья,"Drama, Fantasy, Horror",,,7,
2017,Dunkirk,Дюнкерк,"Action, Drama, History",Christopher Nolan,,7,
2017,Only the Brave,Дело храбрых,,Joseph Kosinski,,7,пожарный спецназ
2017,The Shape of Water,Форма воды,"Adventure , Drama , Fantasy",Guillermo del Toro,,7,
2016,Eddie the Eagle,Эдди 'Орёл',"Biography, Comedy, Drama",,,6,весьма неплохо.
2016,10 Cloverfield Lane,"Кловерфилд, 10","Drama, Horror, Mystery",,,6,"хорошая драма, занятная концовка."
2016,The Nice Guys,Славные парни,"Криминал, комедия",,"Russell Crowe, Ryan Gosling",6,"довольно забавно, плюс хороший состав актёров."
2016,Capitan America Civil War,Капитан Америка Гражданская Война,,,,6,неплохо.
2016,Sully,Чудо на Гудзоне,"Biography, Drama",Clint Eastwood,"Tom Hanks, Aaron Eckhart, Laura Linney",6,"достаточно хороший драматический фильм. Актеры, режиссёр."
2016,The Magnificent Seven,Великолепная семерка,,,,6,приличный вестрн.
2016,The Accountant,Расплата,,,Ben Affleck,6,хороший боевик.
2016,Miss.Peregrines home.for.peculiar.children,Дом странных детей Мисс Перегрин,"Adventure, Drama, Family",Tim Burton,Eva Green,6,"на удивление мне понравилось, особенно первая половина."
2016,Live by Night,Закон ночи,,Ben Affleck,Ben Affleck,6,неплохо.
2016,Silence,Молчание,"Adventure, Drama, History",Martin Scorsese,,6,
2017,Life,Живое,"Horror, Sci-Fi, Thriller",Daniel Espinosa,"Jake Gyllenhaal, Rebecca Ferguson, Ryan Reynolds",6,ну неплохой такой сайфай
2017,T2 Trainspotting,Т2: Трейнспоттинг,Drama,Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller",6,достойное продолжение.
2017,Kong: Skull Island,Конг: Остров черепа,"Action, Adventure, Fantasy",,,6,чуть выше среднего
2017,Mark Felt: The Man Who Brought Down the White House,,"Biography, Drama, History",,Liam Neeson,6,
2017,Thor: Ragnarok,Тор 3: Рагнарёк,"Action, Adventure, Comedy",,,6,забавно
2017,Three Billboards Outside Ebbing,,,,,6,весьма прилично
2016,Deadpool,Дэдпул,Comedy,,,5,строго на один раз смишнявка
2016,The Forest,Лес призраков,"Horror, Mystery, Thriller",,Natalie Dormer,5,"История не плохая, но как ужастик очень слабо."
2016,Pelé: Birth of a Legend,Пеле: Рождение легенды,"Biography, Drama, Sport",,,5,неплохо.
2016,The Huntsman: Winter's War,Белоснежка и охотник 2,"Action, Adventure, Drama",,"Charlize Theron, Emily Blunt, Chris Hemsworth",5,"сказочка не фонтан, но тут Терон и Блант."
2016,Star trek Beyond,Стартрек: Бесконечность,"Action, Adventure, Sci-Fi",,,5,"весьма средне, предыдущий Стартрек на порядок лучше."
2016,,Коллектор,,,Константин Хабенский,5,"Хорошо прописан текст, Хабенский весьма норм. Из минусов весь внутренний сюжетик про собаку и тётю ветеринара очень слабый."
2016,Hunt for the Wilderpeople,Охота на дикарей,"Adventure, Comedy, Drama",,,5,неплохо.
2016,Jason Bourne,Джейсон Борн,,,,5,абсолютно не оставил эмоции.
2016,The Great Wall,Великая стена,"Action, Adventure, Fantasy",,,5,неплохо.
2016,The Founder,Основатель,,,,5,not bad.
2016,Split,Сплит,"Horror, Thriller",,,5,
2016,The Assignment,Томбой,"Action, Crime, Thriller",,,5,
2016,La la land,,,,,5,не плохой такой мюзикл.
2017,Aftermath,Последствия,"Drama, Thriller",Elliott Lester,Arnold Schwarzenegger,5,"много драмы, неплохо, но фильм явно скорее для старшего поколения."
2017,John Wick: Chapter 2,Джон Уик 2,"Action, Crime, Thriller",,Keanu Reeves,5,хорошая постановка драк и обращения с оружием.
2017,Guardians of the Galaxy Vol. 2,Стражи Галактики. Часть 2,,,,5,первая часть намного лучше.
2017,Wonder Woman,Чудо-женщина,,,,5,"средненько, под пивко потянет."
2017,Power Rangers,Могучие рейнжеры,"Action, Adventure, Sci-Fi",,,5,сносный подростковый супергеройский кинчик
2017,King Arthur: Legend of the Sword,Меч короля Артура,"Action, Adventure, Drama",Guy Ritchie,,5,
2017,The dark tower,Темная башня,"Action, Adventure, Fantasy",Nikolaj Arcel,,5,неплохо
2017,Voice from the Stone,Голос из камня,"Drama, Mystery, Thriller",,,5,скучновато
2017,Justice League,Лига справедливости,"Action, Adventure, Fantasy",,,5,"средненько, под пивко потянет."
2017,Valerian and the City of a Thousand Planets,Валериан и город тысячи планет,"Action, Adventure, Fantasy",,,5,"актеры играют хреновенько, но в целом фильм интересный."
2016,Dirty Grandpa,Дедушка легкого поведения,Comedy,,Robert De Niro,4,американская комедия
2016,,Её звали Муму,Drama,Владимир Мирзоев,,4,"В целом даже неплохо. Но актеры играют посредственно, это всё портит."
2016,Inferno,Инферно,,,Tom Hanks,4,по книги Дэна Брауна. Из плюсов это Хэнкс и хорошие съёмки. Но сюжет и диалоги низкого качества.
2016,Skiptrace,Отпетые напарники,"Action, Adventure, Comedy",,"Jackie Chan, Johnny Knoxville",4,"возможно в 90-х такой фильм с Джеки проканал, но сейчас это выглядит весьма посредственно."
2016,Assassin's Creed,Кредо убийцы,,,,4,проходняк.
2017,Resident Evil: The Final Chapter,Обитель зла: Последняя глава,,,,4,посредственно.
